variant_id,setting_id,elbow_k,window_hours,cohort,representation,n,seed_ari,silhouette_median,label_blind_rank_sum,target_type_coverage,exact_four,names
w0750_dense_z_level_d1,detail_sigma12_lr05_seq,5,750,dense,z_level_d1,576,1.0,0.09295372355500908,1239.0,2,False,Hill-like;Slope-like
w0200_detail_z_level_d1_d2,paper_sigma05_lr03_seq,3,200,detail,z_level_d1_d2,1269,1.0,0.08777131306818045,,2,False,Bridge-like;Slope-like
w0150_coverage_z_level_d1_d2,paper_sigma05_lr01_seq,4,150,coverage,z_level_d1_d2,1857,1.0,0.08245866525196127,,2,False,Hill-like;Other/mixed;Slope-like
w0500_detail_z_level_d1_d2,paper_sigma05_lr03_seq,3,500,detail,z_level_d1_d2,1102,1.0,0.07276232510200872,1159.0,2,False,Bridge-like;Slope-like
w0300_detail_z_level_d1_d2,paper_sigma05_lr03_seq,4,300,detail,z_level_d1_d2,1325,1.0,0.06619524796070161,1042.0,2,False,Bridge-like;Slope-like
w1000_detail_z_level_d1_d2,detail_sigma12_lr05_seq,3,1000,detail,z_level_d1_d2,472,1.0,0.06449920067073711,1244.5,2,False,Bridge-like;Slope-like
w0200_detail_z_level_d1_d2,paper_sigma05_lr01_seq,4,200,detail,z_level_d1_d2,1269,1.0,0.06150380422884677,,2,False,Bridge-like;Slope-like
w0200_dense_z_level_d1_d2,paper_sigma05_lr03_seq,4,200,dense,z_level_d1_d2,522,1.0,0.05922322364170096,,2,False,Bridge-like;Slope-like
w1000_detail_z_level_d1_d2,paper_sigma05_lr03_seq,5,1000,detail,z_level_d1_d2,472,1.0,0.05679333886467242,1503.5,2,False,Hill-like;Other/mixed;Slope-like
w0300_coverage_z_level_d1_d2,paper_sigma05_lr01_seq,4,300,coverage,z_level_d1_d2,1590,1.0,0.055374736475480656,792.5,2,False,Bridge-like;Slope-like
w0500_detail_z_level_d1_d2,detail_sigma12_lr05_seq,4,500,detail,z_level_d1_d2,1102,1.0,0.051515582356534806,1038.0,2,False,Bridge-like;Slope-like
w0300_coverage_z_level_d1_d2,detail_sigma12_lr05_seq,5,300,coverage,z_level_d1_d2,1590,1.0,0.05072137336184101,1079.5,2,False,Hill-like;Other/mixed;Slope-like
w0500_coverage_z_level_d1_d2,paper_sigma05_lr03_seq,5,500,coverage,z_level_d1_d2,1198,1.0,0.05014047847717557,1243.5,2,False,Bridge-like;Other/mixed;Slope-like
w0750_dense_z_level_d1_d2,paper_sigma05_lr03_seq,4,750,dense,z_level_d1_d2,576,1.0,0.04713142981220237,1146.0,2,False,Hill-like;Slope-like
w0500_coverage_z_level_d1_d2,detail_sigma12_lr05_seq,4,500,coverage,z_level_d1_d2,1198,1.0,0.04683544462708825,945.5,2,False,Hill-like;Slope-like
w1000_coverage_z_level_d1_d2,detail_sigma12_lr05_seq,4,1000,coverage,z_level_d1_d2,489,1.0,0.04409201282549826,1141.5,2,False,Bridge-like;Slope-like
w0300_detail_z_level_d1_d2,detail_sigma12_lr05_seq,5,300,detail,z_level_d1_d2,1325,1.0,0.03968999559876815,1098.5,2,False,Bridge-like;Slope-like
w0750_coverage_z_level_d1_d2,detail_sigma12_lr05_seq,4,750,coverage,z_level_d1_d2,770,1.0,0.038204315177330264,1110.5,2,False,Bridge-like;Slope-like
w0150_dense_z_level_d1_d2,detail_sigma12_lr05_seq,5,150,dense,z_level_d1_d2,422,1.0,0.037552697212090765,,2,False,Hill-like;Slope-like
w0300_dense_z_level_d1_d2,detail_sigma12_lr05_seq,5,300,dense,z_level_d1_d2,682,1.0,0.03324542040881111,1266.0,2,False,Hill-like;Slope-like
