window_hours,requested_clusters,grid_x,grid_y,seed,quantization_error,topographic_error,occupied_clusters,minimum_cluster_size,maximum_cluster_size,elapsed_seconds
300,2,1,2,42,1.5475313536304467,0.0,2,19,75,0.7639920711517334
300,2,1,2,73,1.5475313536304467,0.0,2,19,75,0.7661912441253662
300,2,1,2,101,1.5475313536304467,0.0,2,19,75,0.7652440071105957
300,3,1,3,7,1.072415950374365,0.2127659574468085,3,18,53,0.9043998718261719
300,3,1,3,19,1.072415948696232,0.7872340425531915,3,18,53,0.9013359546661377
300,3,1,3,42,1.0724159680095717,0.0,3,18,53,0.900062084197998
300,3,1,3,73,1.072415948696232,0.7872340425531915,3,18,53,0.9041588306427002
300,3,1,3,101,1.0724159680095717,0.0,3,18,53,0.896528959274292
300,4,2,2,7,0.9572733780060666,0.0,4,16,43,1.0557987689971924
300,4,2,2,19,0.9572733780060666,0.0,4,16,43,1.0595977306365967
300,4,2,2,42,0.9572733780060666,0.0,4,16,43,1.0529441833496094
300,4,2,2,73,0.92000461011902,0.0,4,2,53,1.056138038635254
300,4,2,2,101,0.9572733780060666,0.0,4,16,43,1.0573029518127441
300,5,1,5,7,0.8355428510800296,0.19148936170212766,5,2,45,1.2076241970062256
300,5,1,5,19,0.7947057089186615,0.22340425531914893,5,2,39,1.1975891590118408
300,5,1,5,42,0.8048620202893625,0.40425531914893614,5,2,43,1.2052671909332275
300,5,1,5,73,0.7947057111968949,0.0,5,2,39,1.2605299949645996
300,5,1,5,101,0.7951583126166426,0.19148936170212766,5,2,39,1.2158913612365723
300,6,2,3,7,0.7452048096175684,0.0,6,2,33,1.3411917686462402
300,6,2,3,19,0.7452048096175684,0.0,6,2,33,1.3420438766479492
300,6,2,3,42,0.7491877873428477,0.0,6,2,34,1.375685214996338
300,6,2,3,73,0.7491877869439963,0.1702127659574468,6,2,34,1.3522891998291016
300,6,2,3,101,0.7491877830863072,0.0,6,2,34,1.3419840335845947
300,7,1,7,7,0.6964930560062809,0.0,7,2,33,1.4612910747528076
300,7,1,7,19,0.706075830247461,0.1595744680851064,7,2,33,1.4714207649230957
300,7,1,7,42,0.7084479559825777,0.5531914893617021,7,2,32,1.5718212127685547
300,7,1,7,73,0.6806111041135658,0.0,7,2,32,1.4813921451568604
300,7,1,7,101,0.7007077607277669,0.7021276595744681,7,2,32,1.737480878829956
300,8,2,4,7,0.6540695865507188,0.0,8,2,32,1.7217519283294678
300,8,2,4,19,0.6502608573675076,0.010638297872340425,8,2,32,1.6393060684204102
300,8,2,4,42,0.6502608573780467,0.010638297872340425,8,2,32,1.5041117668151855
300,8,2,4,73,0.6502608573780467,0.010638297872340425,8,2,32,1.5377748012542725
300,8,2,4,101,0.6435684373514584,0.010638297872340425,8,2,32,1.5098209381103516
300,9,3,3,7,0.6105822612188806,0.05319148936170213,9,2,32,1.6449499130249023
300,9,3,3,19,0.6330581962213216,0.2978723404255319,9,2,32,1.6124908924102783
300,9,3,3,42,0.6354391574568657,0.4574468085106383,9,2,32,1.6182761192321777
300,9,3,3,73,0.6366227293582541,0.1702127659574468,9,2,32,1.6436028480529785
300,9,3,3,101,0.617509498990151,0.14893617021276595,9,2,33,1.6121938228607178
300,10,2,5,7,0.5831794014222045,0.05319148936170213,10,2,32,1.8692779541015625
300,10,2,5,19,0.6281590569666514,0.19148936170212766,10,2,25,1.739598274230957
300,10,2,5,42,0.6011002240329696,0.0,10,2,28,1.700571060180664
300,10,2,5,73,0.5835620165538663,0.10638297872340426,10,2,32,1.7269444465637207
300,10,2,5,101,0.6522565506096017,0.2553191489361702,10,2,29,1.7039480209350586
500,2,1,2,7,2.149943624882955,0.0,2,24,62,0.9715280532836914
500,2,1,2,19,2.149943624882955,0.0,2,24,62,0.9826629161834717
500,2,1,2,42,2.149943624882955,0.0,2,24,62,0.9607408046722412
500,2,1,2,73,2.149943624882955,0.0,2,24,62,0.9528250694274902
500,2,1,2,101,2.149943624882955,0.0,2,24,62,0.9545159339904785
500,3,1,3,7,1.6675158610921592,0.0,3,16,52,1.2039709091186523
500,3,1,3,19,1.6675158474711673,0.2558139534883721,3,16,52,1.2062971591949463
500,3,1,3,42,1.6675158610921592,0.0,3,16,52,1.2029051780700684
500,3,1,3,73,1.6675158610921592,0.0,3,16,52,1.205124855041504
500,3,1,3,101,1.6675158610921592,0.0,3,16,52,1.216538906097412
500,4,2,2,7,1.388680181379785,0.0,4,12,42,1.4012839794158936
500,4,2,2,19,1.388680181379785,0.0,4,12,42,1.4098248481750488
500,4,2,2,42,1.3886801906924175,0.0,4,12,42,1.407397985458374
500,4,2,2,73,1.3886801906924175,0.0,4,12,42,1.407536268234253
500,4,2,2,101,1.388680181379785,0.0,4,12,42,1.40329909324646
500,5,1,5,7,1.2001279619186942,0.12790697674418605,5,4,41,1.543224811553955
500,5,1,5,19,1.2995956568899032,0.0,5,11,36,1.5351829528808594
500,5,1,5,42,1.2001279619186942,0.12790697674418605,5,4,41,1.5405569076538086
500,5,1,5,73,1.2001279619186942,0.12790697674418605,5,4,41,1.534574031829834
500,5,1,5,101,1.2977809529670477,0.32558139534883723,5,11,35,1.5339829921722412
500,6,2,3,7,1.1033124637340879,0.0,6,4,35,1.707618236541748
500,6,2,3,19,1.2158959891635863,0.0,6,5,26,1.7307958602905273
500,6,2,3,42,1.220982518299166,0.0,6,6,26,1.6995837688446045
500,6,2,3,73,1.1033124744103355,0.0,6,4,35,1.7139570713043213
500,6,2,3,101,1.2209825235339713,0.0,6,6,26,1.7057299613952637
500,7,1,7,7,1.0273879524362644,0.22093023255813954,7,4,26,1.940453052520752
500,7,1,7,19,1.054486545831523,0.11627906976744186,7,3,30,1.9362680912017822
500,7,1,7,42,1.1991832738349308,0.20930232558139536,7,7,25,1.9397287368774414
