array_row,curve_id,pce_0h,pce_10h,pce_20h,pce_50h,pce_100h,pce_150h,pce_200h,slope_0_10h,slope_10_50h,slope_50_100h,slope_100_200h,peak_time_h,peak_value,initial_gain,minimum_time_h,minimum_value,recovery_to_200h,maximum_post_min_recovery,max_drop_rate_per_h,max_drop_time_h,auc_mean_0_200h,endpoint_change,mean_abs_derivative,rule_shape_category
602,x_time_h/10.1002_aenm.202001869/Fig8_C_stability_performance_curve/accepted/10.1002_aenm.202001869__Fig8__C__stability_performance_curve__ITO_SnO₂_SAM_MAPbI₃_PDCBT_Ta-WOₓ_Carbon__Series_2.csv,0.9978110312877455,0.9999996974355381,0.9978146051462432,0.9999781969629317,0.9978110312877455,0.9978110312877455,0.9956220625754911,0.00021886661477925616,-5.375118151601521e-07,-4.334331350372311e-05,-2.18896871225438e-05,51.0,1.0,0.002188968712254491,162.0,0.9956220625754911,0.0,0.0,-0.0003202580873605809,86.0,0.9979107245432612,-0.00218896871225438,5.5340339424471855e-05,stable
603,x_time_h/10.1002_aenm.202001869/Fig8_D_stability/accepted/10.1002_aenm.202001869__Fig8__D__stability__MAPbI₃__Series_2.csv,0.9645143498350365,0.9966028948463379,0.992641375040563,0.9882313369166963,0.4916418590817752,0.35458735780897277,0.14672216244517125,0.0032088545011301427,-0.0002092889482410404,-0.009931789556698422,-0.003449196966366039,32.0,0.9999250104015419,0.035410660566505436,200.0,0.14672216244517125,0.0,0.0,-0.03619803977442948,83.0,0.6118674056474506,-0.8177921873898653,0.004507391947951706,initial_gain
604,x_time_h/10.1002_aenm.202002882/Fig5_C_stability_performance_curve_pce/accepted/10.1002_aenm.202002882__Fig5__C__stability_performance_curve_pce__CsPbI₂Br_NSs__Series_2.csv,0.9974049721340982,0.9999231821274477,0.9985003705634555,0.9946731179995142,0.9887524453648956,0.980838786866789,0.9607797791683423,0.0002518209993349507,-0.0001312516031983374,-0.00011841345269237192,-0.0002797266619655325,12.0,1.0,0.0025950278659018222,200.0,0.9607797791683423,0.0,0.0,-0.00047639882899080943,165.0,0.9864778231192769,-0.03662519296575584,0.00021002684734226182,stable
605,x_time_h/10.1002_aenm.202002882/Fig5_C_stability_performance_curve_pce/accepted/10.1002_aenm.202002882__Fig5__C__stability_performance_curve_pce__CsPbI₂Br__Series_1.csv,1.0,0.9979550864189922,0.9945367995314158,0.9810627793911985,0.9569217722769112,0.9371197808564007,0.9049394944953207,-0.0002044913581007779,-0.00042230767569484406,-0.0004828201422857448,-0.0005198227778159048,0.0,1.0,0.0,200.0,0.9049394944953207,0.0,0.0,-0.0009657421597650817,174.0,0.9570871580218326,-0.09506050550467926,0.00047494132356852234,stable
606,x_time_h/10.1002_aenm.202002882/Fig5_C_stability_performance_curve_pce/accepted/10.1002_aenm.202002882__Fig5__C__stability_performance_curve_pce__NSs_CsPbI₂Br_NSs__Series_3.csv,0.9973982201478355,0.9999229822555207,0.998111315320208,0.9947963265992668,0.9895925395021289,0.9807009069735524,0.9699313488183202,0.00025247621076851523,-0.000128166391406348,-0.00010407574194275738,-0.0001966119068380867,12.0,1.0,0.0026017798521644764,200.0,0.9699313488183202,0.0,0.0,-0.0003200075577570738,18.0,0.9878949695380277,-0.027466871329515308,0.00016399962294543993,stable
607,x_time_h/10.1002_aenm.202003301/Fig5_E_stability_performance_curve_pce/accepted/10.1002_aenm.202003301__Fig5__E__stability_performance_curve_pce__o-Control__Series_2.csv,1.0,0.9958435272670426,0.9916914104927469,0.976234412335862,0.940560404961906,0.8803622343801888,0.7583689185263911,-0.00041564727329573836,-0.0004902278732795168,-0.0007134801474791197,-0.0018219148643551487,0.0,1.0,0.0,200.0,0.7583689185263911,0.0,0.0,-0.0031007316092950266,164.0,0.9197230806520161,-0.2416310814736089,0.0012093547267267445,moderate_decay
608,x_time_h/10.1002_aenm.202003301/Fig5_F_mppt_stability_performance_curve_pce/accepted/10.1002_aenm.202003301__Fig5__F__mppt_stability_performance_curve_pce__o-Control__Series_2.csv,1.0,0.9943420122842163,0.9886861044771982,0.9697161551872467,0.9444854956699441,0.8402439850765798,0.7373715431513792,-0.0005657987715783741,-0.0006156464274242379,-0.0005046131903460527,-0.002071139525185649,0.0,1.0,0.0,200.0,0.7373715431513792,0.0,0.0,-0.0036366712416551206,145.0,0.9077778405892613,-0.2626284568486208,0.0013100856338563857,moderate_decay
609,x_time_h/10.1002_aenm.202003785/Fig6_F_mppt_stability_performance_curve/accepted/10.1002_aenm.202003785__Fig6__F__mppt_stability_performance_curve__o-Control__Series_2.csv,1.0,0.9979365433069,0.9979386513798173,0.9938096299206999,0.9824272098418033,0.967296819295302,0.9587308661379994,-0.0002063456693100041,-0.00010317283465500205,-0.0002276484015779312,-0.00023696343703803911,0.0,1.0,0.0,198.0,0.9587308661379994,0.0,0.0,-0.001302064223679178,0.0,0.9804114628670775,-0.041269133862000595,0.00021708764816883564,stable
610,x_time_h/10.1002_aenm.202100967/Fig4_F_mppt_stability_performance_curve_pce_jsc/accepted/10.1002_aenm.202100967__Fig4__F__mppt_stability_performance_curve_pce_jsc__Spiro__Series_1.csv,1.0,0.9301925837013715,0.8603851674027428,0.6684178889778537,0.44803995327701635,0.30564987398190474,0.21524659701970963,-0.006980741629862852,-0.006544367368087944,-0.004407558714016747,-0.002327933562573067,0.0,1.0,0.0,200.0,0.21524659701970963,0.0,0.0,-0.007178544524865327,27.0,0.5008362919022644,-0.7847534029802904,0.003925778421844803,early_drop
611,x_time_h/10.1002_aenm.202101291/Fig5_G_stability_performance_curve_pce/accepted/10.1002_aenm.202101291__Fig5__G__stability_performance_curve_pce__MAPbl₃__Series_1.csv,1.0,0.9216030997582988,0.8860204235547355,0.821192231584908,0.7414584412729817,0.6687708610316998,0.6063726253395046,-0.00783969002417012,-0.002510271704334771,-0.0015946758062385259,-0.0013508581593347701,0.0,1.0,0.0,200.0,0.6063726253395046,0.0,0.0,-0.010103996921724812,0.0,0.7507978610782877,-0.39362737466049535,0.0019870362605318784,early_drop
