view,test,pipeline,cluster,n,fraction,qualitative_morphology,initial_native,final_native,maximum_native,minimum_native,initial_relative,final_relative,maximum_relative,minimum_relative,overall_pce_change_relative,early_time_slope_relative_per_hour,late_time_slope_relative_per_hour,time_of_maximum_hours,time_of_minimum_hours,major_turning_points,peak_to_final_decline_relative,valley_depth_relative,recovery_amplitude_relative,range_relative,peak_width_fraction
natural_selected_k,test3_resample_normalize_smooth,Resample + Normalize + Smooth → SOM,1,577,0.25701559020044545,slow decay,0.9429982336355968,0.6979813312466696,0.9429982336355968,0.6979813312466696,1.0000694970178976,0.7399422664664623,1.0000694970178976,0.7399422664664623,-0.2601272305514353,-0.0026737662672584833,-0.001268936985957784,0.0,149.83333333333334,0,0.2601272305514353,0.0,0.0,0.2601272305514353,0.0
natural_selected_k,test3_resample_normalize_smooth,Resample + Normalize + Smooth → SOM,2,372,0.16570155902004455,medium decay,0.9365334465918181,0.5387239999041479,0.9365334465918181,0.5387239999041479,0.999525162334077,0.5755484276058527,0.999525162334077,0.5755484276058527,-0.4239767347282243,-0.005986549843222632,-0.0013242906880475578,0.0,149.83333333333334,0,0.4239767347282243,0.0,0.0,0.4239767347282243,0.0
natural_selected_k,test3_resample_normalize_smooth,Resample + Normalize + Smooth → SOM,3,213,0.09487750556792873,rapid decay,0.9224091738693394,0.29582618623112933,0.9224091738693394,0.29582618623112933,0.9962513623124689,0.3201976734211503,0.9962513623124689,0.3201976734211503,-0.6760536888913187,-0.010010988260609673,-0.0010571949368639606,0.0,149.83333333333334,0,0.6760536888913187,0.0,0.0,0.6760536888913187,0.0
natural_selected_k,test3_resample_normalize_smooth,Resample + Normalize + Smooth → SOM,4,56,0.024944320712694878,rapid decay,0.7783959982477031,0.06023646277481377,0.7783959982477031,0.05028009201415352,0.9798816587914327,0.07766686051255288,0.9798816587914327,0.06499143978818454,-0.9022147982788798,-0.018676564012852864,0.0003456501619314058,0.0,119.0,0,0.9022147982788798,0.012675420724368336,0.014466221156278575,0.9148902190032482,0.0
fixed_k4,test1_raw,Raw → SOM,0,623,0.2775055679287305,slow decay,14.549011893471178,11.293834203260948,14.549011893471178,11.293834203260948,0.9966002424244852,0.7758851226903354,0.9966002424244852,0.7758851226903354,-0.2207151197341498,-0.001765449190206352,-0.001333222118146532,0.0,149.83333333333334,0,0.2207151197341498,0.0,0.0,0.2207151197341498,0.0
fixed_k4,test1_raw,Raw → SOM,1,745,0.33184855233853006,slow decay,18.459542822314365,16.831247618736107,18.724283467767712,16.8274340831323,0.9922550470752045,0.8980034284398609,0.9989183890437167,0.8980034284398609,-0.09425161863534359,-0.00034873626566241247,-0.0005964493417313063,11.833333333333334,149.83333333333334,1,0.10091496060385574,0.0,0.0,0.10091496060385574,0.08888888888888889
fixed_k4,test1_raw,Raw → SOM,2,442,0.19688195991091315,medium decay,7.635913048086395,3.5133436859369263,7.635913048086395,3.5133436859369263,0.9649483809187657,0.46017719989247263,0.9649483809187657,0.46017719989247263,-0.504771181026293,-0.007884992781844593,-0.0008087897745495478,0.0,149.83333333333334,0,0.504771181026293,0.0,0.0,0.504771181026293,0.0
fixed_k4,test1_raw,Raw → SOM,3,435,0.19376391982182628,medium decay,11.650920147616864,7.661566787070909,11.650920147616864,7.654488888810149,0.9951753831392075,0.6560755505989541,0.9951753831392075,0.6560755505989541,-0.33909983254025344,-0.0045437217744480705,-0.0011822977432368285,0.0,149.83333333333334,0,0.33909983254025344,0.0,0.0,0.33909983254025344,0.0
fixed_k4,test2_resample_normalize,Resample + Normalize → SOM,0,646,0.28775055679287304,medium decay,0.9396052883747208,0.6226855185176549,0.9398657526059649,0.6226855185176549,1.0003826255964747,0.6614330429172989,1.0003826255964747,0.6614330429172989,-0.33894958267917585,-0.004205173357408486,-0.0012249478568867869,0.0,149.83333333333334,0,0.33894958267917585,0.0,0.0,0.33894958267917585,0.0
fixed_k4,test2_resample_normalize,Resample + Normalize → SOM,1,1243,0.553674832962138,initial increase followed by slow decay,0.8888940544391268,0.8696423388572901,0.9459950817216121,0.8695443093520988,0.9470620781290103,0.9187900225518563,0.9995878864433148,0.9187900225518563,-0.028272055577154065,0.0011601230660941108,-0.0007352495940383812,19.666666666666668,149.83333333333334,1,0.08079786389145849,0.0,0.0,0.08079786389145849,0.33444444444444443
fixed_k4,test2_resample_normalize,Resample + Normalize → SOM,2,99,0.044097995545657014,rapid decay,0.9221745710166911,0.11438365158577275,0.9221745710166911,0.10818330088336285,0.8843993784667308,0.12505192973327647,0.8843993784667308,0.12229104066138405,-0.7593474487334543,-0.013073991473805594,0.00013385085372073235,0.0,120.83333333333333,0,0.7593474487334543,0.002760889071892425,0.006685727329177632,0.7621083378053467,0.0
fixed_k4,test2_resample_normalize,Resample + Normalize → SOM,3,257,0.11447661469933185,rapid decay,0.9668912765144063,0.3729619910850416,0.9668912765144063,0.3708340862486536,0.9751921291279694,0.38398232016353684,0.9751921291279694,0.38398232016353684,-0.5912098089644325,-0.009057184950062237,-0.001402077212240198,0.0,149.83333333333334,0,0.5912098089644325,0.0,0.0,0.5912098089644325,0.0
fixed_k4,test3_resample_normalize_smooth,Resample + Normalize + Smooth → SOM,0,646,0.28775055679287304,medium decay,0.940225369300162,0.621658264679921,0.940225369300162,0.621658264679921,1.0000343377173984,0.6611484011426281,1.0000343377173984,0.6611484011426281,-0.3388859365747703,-0.00420426695738032,-0.001225891721427586,0.0,149.83333333333334,0,0.3388859365747703,0.0,0.0,0.3388859365747703,0.0
fixed_k4,test3_resample_normalize_smooth,Resample + Normalize + Smooth → SOM,1,1243,0.553674832962138,initial increase followed by slow decay,0.8959160679950928,0.8691708424689448,0.9456052243238774,0.8691708424689448,0.9480220075064303,0.9189293333997742,0.9997728117256202,0.9189293333997742,-0.029092674106656058,0.0011636014085206604,-0.0007356325275566883,19.833333333333332,149.83333333333334,1,0.08084347832584593,0.0,0.0,0.08084347832584593,0.3333333333333333
fixed_k4,test3_resample_normalize_smooth,Resample + Normalize + Smooth → SOM,2,99,0.044097995545657014,rapid decay,0.8155706174449859,0.11531970965659376,0.8155706174449859,0.11277368796109653,0.986104777959031,0.14156626367950212,0.986104777959031,0.13861639493438918,-0.8445385142795289,-0.014861649254828673,0.00014602244539597658,0.0,119.5,0,0.8445385142795289,0.002949868745112938,0.007117966573499945,0.8474883830246418,0.0
fixed_k4,test3_resample_normalize_smooth,Resample + Normalize + Smooth → SOM,3,257,0.11447661469933185,rapid decay,0.9429047625793446,0.3712691557018855,0.9429047625793446,0.3712691557018855,0.9973368254128506,0.39360367260869555,0.9973368254128506,0.39360367260869555,-0.6037331528041551,-0.00929416778722854,-0.0014385534974782038,0.0,149.83333333333334,0,0.6037331528041551,0.0,0.0,0.6037331528041551,0.0
