config_id,mean_bic,bic_percentile,cp_f1,mean_segments,id,algorithm,cost,min_fraction,penalty,cp_score
CP140,-264.7157669733663,0.2605820105820106,0.8616734405195944,5.076923076923077,CP140,binseg,rbf,0.03,0.5,0.7638690796383105
CP129,-251.07828997496568,0.27216880341880345,0.9043803418803419,2.0705128205128207,CP129,binseg,linear,0.08,3.0,0.7631410256410257
CP052,-251.80594961708064,0.2731990231990232,0.9075854700854702,2.108974358974359,CP052,pelt,linear,0.1,3.0,0.7629578754578755
CP057,-260.51623232914335,0.2694469881969882,0.8662164224664224,3.83974358974359,CP057,pelt,rbf,0.03,1.0,0.757685693935694
CP064,-260.46433614608605,0.27392399267399264,0.8662164224664224,3.826923076923077,CP064,pelt,rbf,0.05,1.0,0.7541040903540904
CP014,-256.56822947592383,0.2783882783882784,0.8619810744810744,3.551282051282051,CP014,pelt,l2,0.08,0.5,0.7496855921855923
CP136,-249.95973234421857,0.28886853886853886,0.8915598290598291,2.0576923076923075,CP136,binseg,linear,0.1,3.0,0.7472171347171348
CP091,-259.93980877802363,0.28926282051282054,0.8754655067155067,3.7948717948717947,CP091,binseg,l2,0.05,0.5,0.743682844932845
CP084,-259.95943845573794,0.288970288970289,0.8714056776556777,3.8076923076923075,CP084,binseg,l2,0.03,0.5,0.7431049043549044
CP021,-255.28876847983707,0.28622303622303624,0.8479090354090354,3.4871794871794872,CP021,pelt,l2,0.1,0.5,0.7406033781033781
CP196,-258.2867274238587,0.27827380952380953,0.8050671550671551,2.9166666666666665,CP196,window,linear,0.03,0.5,0.7383943833943835
CP203,-258.2867274238587,0.27827380952380953,0.8050671550671551,2.9166666666666665,CP203,window,linear,0.05,0.5,0.7383943833943835
CP210,-258.2867274238587,0.27827380952380953,0.8050671550671551,2.9166666666666665,CP210,window,linear,0.08,0.5,0.7383943833943835
CP217,-258.2867274238587,0.27827380952380953,0.8050671550671551,2.9166666666666665,CP217,window,linear,0.1,0.5,0.7383943833943835
CP071,-255.85105994455733,0.2951388888888889,0.8703551078551078,3.7756410256410255,CP071,pelt,rbf,0.08,1.0,0.7379599104599106
CP098,-256.6415272516925,0.2983058608058608,0.8731123043623044,3.7243589743589745,CP098,binseg,l2,0.08,0.5,0.7359777722277723
CP154,-258.8080993101597,0.29482091982091985,0.8561172623672624,4.846153846153846,CP154,binseg,rbf,0.08,0.5,0.7353667166167166
CP032,-247.2460930540243,0.3146621896621897,0.9038461538461539,1.9230769230769231,CP032,pelt,linear,0.03,5.0,0.7290394790394791
CP039,-247.210473249038,0.3148911273911274,0.9038461538461539,1.9230769230769231,CP039,pelt,linear,0.05,5.0,0.7288563288563289
CP141,-254.8049767582976,0.3076923076923077,0.8498217060717062,3.8141025641025643,CP141,binseg,rbf,0.03,1.0,0.7238104950604951
CP046,-246.40776474931846,0.3222934472934473,0.9038461538461539,1.9230769230769231,CP046,pelt,linear,0.08,5.0,0.722934472934473
CP116,-246.59543921044693,0.3220517908017908,0.9017094017094016,1.9102564102564104,CP116,binseg,linear,0.03,5.0,0.7227004477004477
CP123,-246.55981940546064,0.32228072853072853,0.9017094017094016,1.9102564102564104,CP123,binseg,linear,0.05,5.0,0.7225172975172975
CP105,-254.41122086006123,0.31461131461131464,0.8697802197802198,3.641025641025641,CP105,binseg,l2,0.1,0.5,0.7222669922669922
CP148,-254.62993600531763,0.3123600936100936,0.8498217060717062,3.801282051282051,CP148,binseg,rbf,0.05,1.0,0.7200762663262663
CP130,-245.7571109057411,0.32968304843304846,0.9017094017094016,1.9102564102564104,CP130,binseg,linear,0.08,5.0,0.7165954415954416
CP078,-252.4479820824827,0.31634106634106635,0.8480845543345543,3.7051282051282053,CP078,pelt,rbf,0.1,1.0,0.7165440577940578
CP053,-245.49878205524752,0.3368182743182743,0.8974358974358975,1.9230769230769231,CP053,pelt,linear,0.1,5.0,0.71003256003256
CP015,-250.58943482961854,0.3342363654863655,0.8779202279202278,2.9743589743589745,CP015,pelt,l2,0.08,1.0,0.7081949531949533
CP137,-244.84812821167012,0.34420787545787546,0.8952991452991452,1.9102564102564104,CP137,binseg,linear,0.1,5.0,0.7036935286935287
CP161,-253.1613140807848,0.33145095645095646,0.8433656621156621,4.564102564102564,CP161,binseg,rbf,0.1,0.5,0.7035123672623673
CP001,-251.70286994082832,0.3402396214896215,0.8777828652828652,3.0064102564102564,CP001,pelt,l2,0.03,1.0,0.7033648758648758
CP155,-249.69789926836106,0.3325956450956451,0.8463242775742776,3.717948717948718,CP155,binseg,rbf,0.08,1.0,0.7031883394383396
CP008,-251.403508598192,0.34130799755799757,0.8777828652828652,2.9935897435897436,CP008,pelt,l2,0.05,1.0,0.702510175010175
CP022,-250.0902618210172,0.3435719373219373,0.8714743589743589,2.948717948717949,CP022,pelt,l2,0.1,1.0,0.699437321937322
CP197,-252.31748725123498,0.32636345136345135,0.8022435897435898,2.6346153846153846,CP197,window,linear,0.03,1.0,0.6993579568579569
CP204,-252.31748725123498,0.32636345136345135,0.8022435897435898,2.6346153846153846,CP204,window,linear,0.05,1.0,0.6993579568579569
CP211,-252.31748725123498,0.32636345136345135,0.8022435897435898,2.6346153846153846,CP211,window,linear,0.08,1.0,0.6993579568579569
CP218,-252.31748725123498,0.32636345136345135,0.8022435897435898,2.6346153846153846,CP218,window,linear,0.1,1.0,0.6993579568579569
CP162,-246.96566506986122,0.3548789173789174,0.8482982295482295,3.6346153846153846,CP162,binseg,rbf,0.1,1.0,0.685756512006512
CP085,-249.701875925502,0.3891559829059829,0.8548840048840048,3.019230769230769,CP085,binseg,l2,0.03,1.0,0.6596520146520146
CP092,-249.40747281351426,0.3901480463980464,0.858089133089133,3.0064102564102564,CP092,binseg,l2,0.05,1.0,0.6594993894993895
CP099,-246.79017088816602,0.39592236467236464,0.857905982905983,2.967948717948718,CP099,binseg,l2,0.08,1.0,0.6548433048433049
CP224,-242.40714663027788,0.37477106227106227,0.7650717338217339,3.0833333333333335,CP224,window,rbf,0.03,0.5,0.653197496947497
CP231,-242.40714663027788,0.37477106227106227,0.7650717338217339,3.0833333333333335,CP231,window,rbf,0.05,0.5,0.653197496947497
CP238,-242.40714663027788,0.37477106227106227,0.7650717338217339,3.0833333333333335,CP238,window,rbf,0.08,0.5,0.653197496947497
CP245,-242.40714663027788,0.37477106227106227,0.7650717338217339,3.0833333333333335,CP245,window,rbf,0.1,0.5,0.653197496947497
CP106,-245.62638610015756,0.40762362637362637,0.851923076923077,2.923076923076923,CP106,binseg,l2,0.1,1.0,0.6442857142857144
CP225,-241.1068221970641,0.3909238909238909,0.7696275946275946,2.9423076923076925,CP225,window,rbf,0.03,1.0,0.6411864061864062
CP232,-241.1068221970641,0.3909238909238909,0.7696275946275946,2.9423076923076925,CP232,window,rbf,0.05,1.0,0.6411864061864062
CP239,-241.1068221970641,0.3909238909238909,0.7696275946275946,2.9423076923076925,CP239,window,rbf,0.08,1.0,0.6411864061864062
CP246,-241.1068221970641,0.3909238909238909,0.7696275946275946,2.9423076923076925,CP246,window,rbf,0.1,1.0,0.6411864061864062
CP198,-244.039745142833,0.4104471916971916,0.8232905982905984,2.2243589743589745,CP198,window,linear,0.03,2.0,0.6363003663003663
CP205,-244.039745142833,0.4104471916971916,0.8232905982905984,2.2243589743589745,CP205,window,linear,0.05,2.0,0.6363003663003663
CP212,-244.039745142833,0.4104471916971916,0.8232905982905984,2.2243589743589745,CP212,window,linear,0.08,2.0,0.6363003663003663
CP219,-244.039745142833,0.4104471916971916,0.8232905982905984,2.2243589743589745,CP219,window,linear,0.1,2.0,0.6363003663003663
CP058,-238.5394269636183,0.42946174196174197,0.8170940170940171,2.7371794871794872,CP058,pelt,rbf,0.03,2.0,0.61984940984941
CP065,-238.5394269636183,0.42946174196174197,0.8170940170940171,2.7371794871794872,CP065,pelt,rbf,0.05,2.0,0.61984940984941
CP072,-238.5394269636183,0.42946174196174197,0.8170940170940171,2.7371794871794872,CP072,pelt,rbf,0.08,2.0,0.61984940984941
CP168,-238.36836130577043,0.42012617012617015,0.7780982905982905,2.782051282051282,CP168,window,l2,0.03,0.5,0.6195187220187219
CP175,-238.36836130577043,0.42012617012617015,0.7780982905982905,2.782051282051282,CP175,window,l2,0.05,0.5,0.6195187220187219
CP182,-238.36836130577043,0.42012617012617015,0.7780982905982905,2.782051282051282,CP182,window,l2,0.08,0.5,0.6195187220187219
CP189,-238.36836130577043,0.42012617012617015,0.7780982905982905,2.782051282051282,CP189,window,l2,0.1,0.5,0.6195187220187219
CP079,-238.0127044020452,0.43610093610093614,0.814957264957265,2.7243589743589745,CP079,pelt,rbf,0.1,2.0,0.6141107041107041
CP169,-236.67593834624373,0.43865740740740744,0.7891025641025641,2.608974358974359,CP169,window,l2,0.03,1.0,0.6068945868945869
CP176,-236.67593834624373,0.43865740740740744,0.7891025641025641,2.608974358974359,CP176,window,l2,0.05,1.0,0.6068945868945869
CP183,-236.67593834624373,0.43865740740740744,0.7891025641025641,2.608974358974359,CP183,window,l2,0.08,1.0,0.6068945868945869
CP190,-236.67593834624373,0.43865740740740744,0.7891025641025641,2.608974358974359,CP190,window,l2,0.1,1.0,0.6068945868945869
CP033,-235.9467204627453,0.46653693528693524,0.8878205128205128,1.6153846153846154,CP033,pelt,linear,0.03,8.0,0.6043345543345544
CP117,-235.9467204627453,0.46653693528693524,0.8878205128205128,1.6153846153846154,CP117,binseg,linear,0.03,8.0,0.6043345543345544
CP040,-235.91110065775902,0.466765873015873,0.8878205128205128,1.6153846153846154,CP040,pelt,linear,0.05,8.0,0.6041514041514042
CP124,-235.91110065775902,0.466765873015873,0.8878205128205128,1.6153846153846154,CP124,binseg,linear,0.05,8.0,0.6041514041514042
CP047,-235.01312795188207,0.4758725071225071,0.8814102564102564,1.608974358974359,CP047,pelt,linear,0.08,8.0,0.5955840455840455
CP131,-235.01312795188207,0.4758725071225071,0.8814102564102564,1.608974358974359,CP131,binseg,linear,0.08,8.0,0.5955840455840455
CP142,-233.4452492378247,0.4780346967846968,0.8719017094017093,2.5641025641025643,CP142,binseg,rbf,0.03,2.0,0.5919525844525845
CP149,-233.4452492378247,0.4780346967846968,0.8719017094017093,2.5641025641025643,CP149,binseg,rbf,0.05,2.0,0.5919525844525845
CP156,-233.4452492378247,0.4780346967846968,0.8719017094017093,2.5641025641025643,CP156,binseg,rbf,0.08,2.0,0.5919525844525845
CP016,-238.7151478569975,0.4811126373626374,0.8627136752136753,2.3653846153846154,CP016,pelt,l2,0.08,2.0,0.5876526251526253
CP163,-233.14480760042557,0.48294413919413914,0.8686965811965811,2.5576923076923075,CP163,binseg,rbf,0.1,2.0,0.587384004884005
CP054,-233.3078710551712,0.4960953398453398,0.9038461538461539,1.5833333333333333,CP054,pelt,linear,0.1,8.0,0.5838929588929589
CP138,-233.3078710551712,0.4960953398453398,0.9038461538461539,1.5833333333333333,CP138,binseg,linear,0.1,8.0,0.5838929588929589
CP199,-236.52702393761598,0.47662291412291413,0.8231837606837606,1.9743589743589745,CP199,window,linear,0.03,3.0,0.5833384208384208
CP206,-236.52702393761598,0.47662291412291413,0.8231837606837606,1.9743589743589745,CP206,window,linear,0.05,3.0,0.5833384208384208
CP213,-236.52702393761598,0.47662291412291413,0.8231837606837606,1.9743589743589745,CP213,window,linear,0.08,3.0,0.5833384208384208
CP220,-236.52702393761598,0.47662291412291413,0.8231837606837606,1.9743589743589745,CP220,window,linear,0.1,3.0,0.5833384208384208
CP009,-239.66804320977906,0.48463573463573467,0.8530982905982907,2.371794871794872,CP009,pelt,l2,0.05,2.0,0.5829110704110705
CP023,-238.2756022084414,0.48433048433048437,0.8493589743589743,2.3461538461538463,CP023,pelt,l2,0.1,2.0,0.5824074074074075
CP170,-234.21761152117085,0.4719296906796907,0.7900641025641025,2.378205128205128,CP170,window,l2,0.03,2.0,0.5804690679690679
CP177,-234.21761152117085,0.4719296906796907,0.7900641025641025,2.378205128205128,CP177,window,l2,0.05,2.0,0.5804690679690679
CP184,-234.21761152117085,0.4719296906796907,0.7900641025641025,2.378205128205128,CP184,window,l2,0.08,2.0,0.5804690679690679
