n,n_clusters,noise_fraction,cluster_sizes,balance,dbcv,silhouette,davies_bouldin,calinski_harabasz,min_cluster_size,min_samples,cluster_selection_method,metric,dataset,normalization,coverage,representation,dimensions,candidate_id,bootstrap_ari,bootstrap_vi,bootstrap_valid_fraction
156,0,1.0,[],0.0,,,,,20,5.0,leaf,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__023,,,0.0
156,0,1.0,[],0.0,,,,,20,10.0,eom,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__024,,,0.0
156,0,1.0,[],0.0,,,,,20,10.0,eom,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__025,,,0.0
156,0,1.0,[],0.0,,,,,20,10.0,leaf,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__026,,,0.0
156,0,1.0,[],0.0,,,,,20,10.0,leaf,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__027,,,0.0
156,0,1.0,[],0.0,,,,,20,20.0,eom,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__028,,,0.0
156,0,1.0,[],0.0,,,,,20,20.0,eom,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__029,,,0.0
156,0,1.0,[],0.0,,,,,20,20.0,leaf,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__030,,,0.0
156,0,1.0,[],0.0,,,,,20,20.0,leaf,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__031,,,0.0
156,0,1.0,[],0.0,,,,,30,,eom,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__032,,,0.0
156,0,1.0,[],0.0,,,,,30,,eom,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__033,,,0.0
156,0,1.0,[],0.0,,,,,30,,leaf,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__034,,,0.0
156,0,1.0,[],0.0,,,,,30,,leaf,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__035,,,0.0
156,0,1.0,[],0.0,,,,,30,5.0,eom,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__036,,,0.0
156,0,1.0,[],0.0,,,,,30,5.0,eom,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__037,,,0.0
156,0,1.0,[],0.0,,,,,30,5.0,leaf,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__038,,,0.0
156,0,1.0,[],0.0,,,,,30,5.0,leaf,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__039,,,0.0
156,0,1.0,[],0.0,,,,,30,10.0,eom,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__040,,,0.0
156,0,1.0,[],0.0,,,,,30,10.0,eom,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__041,,,0.0
156,0,1.0,[],0.0,,,,,30,10.0,leaf,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__042,,,0.0
156,0,1.0,[],0.0,,,,,30,10.0,leaf,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__043,,,0.0
156,0,1.0,[],0.0,,,,,30,20.0,eom,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__044,,,0.0
156,0,1.0,[],0.0,,,,,30,20.0,eom,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__045,,,0.0
156,0,1.0,[],0.0,,,,,30,20.0,leaf,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__046,,,0.0
156,0,1.0,[],0.0,,,,,30,20.0,leaf,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__047,,,0.0
156,0,1.0,[],0.0,,,,,50,,eom,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__048,,,0.0
156,0,1.0,[],0.0,,,,,50,,eom,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__049,,,0.0
156,0,1.0,[],0.0,,,,,50,,leaf,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__050,,,0.0
156,0,1.0,[],0.0,,,,,50,,leaf,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__051,,,0.0
156,0,1.0,[],0.0,,,,,50,5.0,eom,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__052,,,0.0
156,0,1.0,[],0.0,,,,,50,5.0,eom,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__053,,,0.0
156,0,1.0,[],0.0,,,,,50,5.0,leaf,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__054,,,0.0
156,0,1.0,[],0.0,,,,,50,5.0,leaf,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__055,,,0.0
156,0,1.0,[],0.0,,,,,50,10.0,eom,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__056,,,0.0
156,0,1.0,[],0.0,,,,,50,10.0,eom,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__057,,,0.0
156,0,1.0,[],0.0,,,,,50,10.0,leaf,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__058,,,0.0
156,0,1.0,[],0.0,,,,,50,10.0,leaf,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__059,,,0.0
156,0,1.0,[],0.0,,,,,50,20.0,eom,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__060,,,0.0
156,0,1.0,[],0.0,,,,,50,20.0,eom,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__061,,,0.0
156,0,1.0,[],0.0,,,,,50,20.0,leaf,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__062,,,0.0
156,0,1.0,[],0.0,,,,,50,20.0,leaf,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__063,,,0.0
156,0,1.0,[],0.0,,,,,75,,eom,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__064,,,0.0
156,0,1.0,[],0.0,,,,,75,,eom,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__065,,,0.0
156,0,1.0,[],0.0,,,,,75,,leaf,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__066,,,0.0
156,0,1.0,[],0.0,,,,,75,,leaf,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__067,,,0.0
156,0,1.0,[],0.0,,,,,75,5.0,eom,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__068,,,0.0
156,0,1.0,[],0.0,,,,,75,5.0,eom,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__069,,,0.0
156,0,1.0,[],0.0,,,,,75,5.0,leaf,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__070,,,0.0
156,0,1.0,[],0.0,,,,,75,5.0,leaf,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__071,,,0.0
156,0,1.0,[],0.0,,,,,75,10.0,eom,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__072,,,0.0
156,0,1.0,[],0.0,,,,,75,10.0,eom,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__073,,,0.0
156,0,1.0,[],0.0,,,,,75,10.0,leaf,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__074,,,0.0
156,0,1.0,[],0.0,,,,,75,10.0,leaf,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__075,,,0.0
156,0,1.0,[],0.0,,,,,75,20.0,eom,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__076,,,0.0
156,0,1.0,[],0.0,,,,,75,20.0,eom,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__077,,,0.0
156,0,1.0,[],0.0,,,,,75,20.0,leaf,euclidean,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__078,,,0.0
156,0,1.0,[],0.0,,,,,75,20.0,leaf,manhattan,full_duration,initial,1.0,0.9,7,full_duration__initial__0.9__079,,,0.0
156,0,1.0,[],0.0,,,,,10,,eom,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__000,,,0.0
156,0,1.0,[],0.0,,,,,10,,eom,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__001,,,0.0
156,0,1.0,[],0.0,,,,,10,,leaf,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__002,,,0.0
156,0,1.0,[],0.0,,,,,10,,leaf,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__003,,,0.0
156,0,1.0,[],0.0,,,,,10,5.0,eom,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__004,,,0.0
156,0,1.0,[],0.0,,,,,10,5.0,eom,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__005,,,0.0
156,0,1.0,[],0.0,,,,,10,5.0,leaf,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__006,,,0.0
156,0,1.0,[],0.0,,,,,10,5.0,leaf,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__007,,,0.0
156,0,1.0,[],0.0,,,,,10,10.0,eom,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__008,,,0.0
156,0,1.0,[],0.0,,,,,10,10.0,eom,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__009,,,0.0
156,0,1.0,[],0.0,,,,,10,10.0,leaf,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__010,,,0.0
156,0,1.0,[],0.0,,,,,10,10.0,leaf,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__011,,,0.0
156,0,1.0,[],0.0,,,,,10,20.0,eom,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__012,,,0.0
156,0,1.0,[],0.0,,,,,10,20.0,eom,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__013,,,0.0
156,0,1.0,[],0.0,,,,,10,20.0,leaf,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__014,,,0.0
156,0,1.0,[],0.0,,,,,10,20.0,leaf,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__015,,,0.0
156,0,1.0,[],0.0,,,,,20,,eom,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__016,,,0.0
156,0,1.0,[],0.0,,,,,20,,eom,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__017,,,0.0
156,0,1.0,[],0.0,,,,,20,,leaf,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__018,,,0.0
156,0,1.0,[],0.0,,,,,20,,leaf,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__019,,,0.0
156,0,1.0,[],0.0,,,,,20,5.0,eom,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__020,,,0.0
156,0,1.0,[],0.0,,,,,20,5.0,eom,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__021,,,0.0
156,0,1.0,[],0.0,,,,,20,5.0,leaf,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__022,,,0.0
156,0,1.0,[],0.0,,,,,20,5.0,leaf,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__023,,,0.0
156,0,1.0,[],0.0,,,,,20,10.0,eom,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__024,,,0.0
156,0,1.0,[],0.0,,,,,20,10.0,eom,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__025,,,0.0
156,0,1.0,[],0.0,,,,,20,10.0,leaf,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__026,,,0.0
156,0,1.0,[],0.0,,,,,20,10.0,leaf,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__027,,,0.0
156,0,1.0,[],0.0,,,,,20,20.0,eom,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__028,,,0.0
156,0,1.0,[],0.0,,,,,20,20.0,eom,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__029,,,0.0
156,0,1.0,[],0.0,,,,,20,20.0,leaf,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__030,,,0.0
156,0,1.0,[],0.0,,,,,20,20.0,leaf,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__031,,,0.0
156,0,1.0,[],0.0,,,,,30,,eom,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__032,,,0.0
156,0,1.0,[],0.0,,,,,30,,eom,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__033,,,0.0
156,0,1.0,[],0.0,,,,,30,,leaf,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__034,,,0.0
156,0,1.0,[],0.0,,,,,30,,leaf,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__035,,,0.0
156,0,1.0,[],0.0,,,,,30,5.0,eom,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__036,,,0.0
156,0,1.0,[],0.0,,,,,30,5.0,eom,manhattan,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__037,,,0.0
156,0,1.0,[],0.0,,,,,30,5.0,leaf,euclidean,full_duration,initial,1.0,0.95,10,full_duration__initial__0.95__038,,,0.0
