config_id,sample_id,bic,segments,cp_f1
CP001,S0011,-346.14468857016647,3,0.75
CP001,S0012,-418.8853031896779,3,0.75
CP001,S0013,-262.83356440315174,3,1.0
CP001,S0014,-371.60120647487304,3,1.0
CP001,S0015,-331.9793941163012,3,1.0
CP001,S0016,-317.556145558969,4,1.0
CP001,S0017,-630.0522387605444,4,0.8333333333333333
CP001,S0018,-230.1724516672168,3,1.0
CP001,S0019,-222.51794844584796,3,0.25
CP001,S0020,-285.3358162932295,4,0.4
CP001,S0021,-294.1667834472915,3,1.0
CP001,S0022,-208.819988526836,5,1.0
CP001,S0023,-278.7472981018603,4,1.0
CP001,S0025,-334.76861228051393,3,1.0
CP001,S0028,-366.05809182257366,3,1.0
CP001,S0029,-322.6077667392429,4,1.0
CP001,S0030,-308.61960487937336,3,1.0
CP001,S0031,-261.84644810072376,3,0.5
CP001,S0034,-219.15326367575548,3,0.75
CP001,S0035,-220.32234797174797,3,1.0
CP001,S0036,-194.409128839097,3,1.0
CP001,S0037,-284.2876883631474,3,1.0
CP001,S0038,-315.1329656026453,3,0.5
CP001,S0039,-183.86403532938021,3,0.5
CP001,S0040,-144.1112800964139,3,0.5
CP001,S0044,-166.27334504671825,4,0.9285714285714286
CP001,S0045,-543.0327258596697,3,1.0
CP001,S0046,-72.96002080975808,3,0.0
CP001,S0047,-76.96133433968575,3,1.0
CP001,S0048,-202.51878219271256,3,1.0
CP001,S0049,-227.00553939179477,3,0.8333333333333333
CP001,S0050,-299.2706161989087,3,1.0
CP001,S0051,-167.0991888612291,2,1.0
CP001,S0052,-203.41142511717086,2,1.0
CP001,S0053,-282.63752258032764,3,1.0
CP001,S0054,-206.82467693897004,3,0.8333333333333333
CP001,S0055,-335.690237248281,4,1.0
CP001,S0056,-284.10513429647244,3,0.75
CP001,S0057,-262.62910205094545,3,1.0
CP001,S0058,-287.82515727536725,3,1.0
CP001,S0059,-123.95095168343185,2,1.0
CP001,S0060,-386.0966268969354,3,0.5
CP001,S0061,-223.99439330512533,2,1.0
CP001,S0062,-150.32558033793518,3,1.0
CP001,S0063,-629.4776138064339,4,1.0
CP001,S0064,-516.5571509994235,4,1.0
CP001,S0065,-374.7591687535845,3,0.75
CP001,S0066,-300.2423723949448,3,0.0
CP001,S0067,-399.9543234897493,4,1.0
CP001,S0071,-224.94660776016144,3,0.8333333333333333
CP001,S0072,-267.5142741235077,2,1.0
CP001,S0075,-353.14980494765376,3,1.0
CP001,S0076,-241.99204511353173,3,0.75
CP001,S0077,-319.9890349072121,3,1.0
CP001,S0080,-214.0790325666491,3,0.5
CP001,S0081,-417.6209238039032,3,1.0
CP001,S0082,-308.1721967375203,3,0.75
CP001,S0083,-262.9087897139639,3,1.0
CP001,S0084,-206.24607340984082,2,1.0
CP001,S0085,-226.5149806690979,3,0.5
CP001,S0086,-278.4401128901622,3,1.0
CP001,S0087,-245.1755597910236,3,0.25
CP001,S0088,-274.3129100072064,3,1.0
CP001,S0089,-291.21521412514943,3,1.0
CP001,S0090,-314.75062710768896,3,1.0
CP001,S0091,-129.86974809141273,3,1.0
CP001,S0092,-216.37599225144993,3,1.0
CP001,S0093,-111.60365212797568,2,1.0
CP001,S0095,-227.083021646867,3,0.5
CP001,S0096,-141.74401173801684,2,1.0
CP001,S0099,-171.41811083687483,3,1.0
CP001,S0100,-225.9096964399565,4,1.0
CP001,S0103,-212.88319193425224,3,1.0
CP001,S0104,-188.438807320345,3,1.0
CP001,S0105,-297.4804631621876,3,1.0
CP001,S0106,-188.47602881337758,3,1.0
CP001,S0107,-306.0367971515268,3,0.75
CP001,S0108,-207.54102720039933,3,1.0
CP001,S0109,-333.803145505092,3,1.0
CP001,S0110,-254.8672153523026,3,1.0
CP001,S0118,-172.81404037416283,3,0.5
CP001,S0119,-116.41410945673618,4,1.0
CP001,S0125,-100.28299334345807,3,1.0
CP001,S0126,-79.84546798148337,3,1.0
CP001,S0127,-167.85816350558179,3,0.5
CP001,S0128,-298.785499810356,3,0.75
CP001,S0129,-236.18917556177627,3,0.8333333333333333
CP001,S0130,-275.1439148270663,3,0.75
CP001,S0134,-357.4623084392589,3,1.0
CP001,S0135,-409.6431701146912,3,1.0
CP001,S0136,-237.97373847371432,3,1.0
CP001,S0137,-220.0736718614414,3,0.75
CP001,S0138,-219.19066037612276,3,0.5
CP001,S0139,-206.79479838223753,3,0.5
CP001,S0140,-122.64184089530254,2,0.5
CP001,S0141,-294.86209233812093,3,0.0
CP001,S0150,-262.19236900761473,3,1.0
CP001,S0151,-174.6304763635294,2,1.0
CP001,S0152,-226.1533637022484,3,1.0
CP001,S0153,-284.3809151084396,3,1.0
CP001,S0154,-231.30141210360551,3,1.0
CP001,S0163,-306.8737788900752,3,1.0
CP001,S0164,-376.64936465381163,4,1.0
CP001,S0165,-481.47474154379546,3,0.5
CP001,S0166,-433.68027876362765,3,1.0
CP001,S0167,-372.1827600849834,3,1.0
CP001,S0170,-734.676315239882,4,1.0
CP001,S0171,-215.5858677604937,2,1.0
CP001,S0172,-225.98358759473314,2,0.5
CP001,S0173,-401.6694128420421,3,1.0
CP001,S0174,-224.48426933544098,3,1.0
CP001,S0175,-243.90473678687707,3,1.0
CP001,S0176,-175.15413741967805,3,0.5
CP001,S0177,-328.6054395487605,4,0.8333333333333333
CP001,S0178,-204.05463825312356,4,0.3333333333333333
CP001,S0179,-268.80793760056304,3,1.0
CP001,S0180,-175.25203128168977,2,1.0
CP001,S0181,-224.44537294564967,3,1.0
CP001,S0182,-356.6160079717522,3,1.0
CP001,S0183,-281.71941457889784,2,1.0
CP001,S0184,-483.7087772395745,3,1.0
CP001,S0185,-314.05145540009283,3,1.0
CP001,S0186,-282.9196342809659,3,1.0
CP001,S0187,-240.76843930369927,3,1.0
CP001,S0191,-445.07791251760847,3,1.0
CP001,S0192,-172.88999472219612,3,1.0
CP001,S0193,-255.03786988019732,3,1.0
CP001,S0194,-534.8927562565033,3,1.0
CP001,S0195,-241.29786442479954,3,1.0
CP001,S0196,-255.723152438548,3,0.5
CP001,S0197,-114.78253102205764,6,0.8888888888888888
CP001,S0198,-157.68270423675168,2,1.0
CP001,S0199,-202.19742716479578,3,1.0
CP001,S0202,-79.23132951577715,3,0.75
CP001,S0205,-88.90271320854444,3,1.0
CP001,S0206,1505.1832449130256,2,1.0
CP001,S0207,-102.62720980874948,3,1.0
CP001,S0208,-99.31501204284487,3,1.0
CP001,S0209,-106.6603890086888,2,1.0
CP001,S0210,-112.6128352993948,3,1.0
CP001,S0211,-118.58043502165346,3,1.0
CP001,S0212,-87.15365151353004,3,1.0
CP001,S0213,-173.25786270008433,2,0.8333333333333333
CP001,S0214,-752.8600655651021,1,1.0
CP001,S0215,-91.92221284325535,3,1.0
CP001,S0216,-106.17957223372053,4,1.0
CP001,S0217,-385.2621393335265,4,0.8
CP001,S0218,-465.7108075703416,4,1.0
CP002,S0003,-174.44810549029185,2,1.0
CP002,S0004,-106.2016109760335,2,1.0
CP002,S0005,-338.19965427648896,2,1.0
CP002,S0006,-305.7278586069837,3,0.0
CP002,S0007,-163.5569624279175,2,1.0
CP002,S0008,-208.6600724165615,2,0.0
CP002,S0009,-263.38045880914575,3,1.0
CP002,S0010,-229.1754890106683,3,0.8333333333333333
CP002,S0011,-346.14468857016647,3,0.75
CP002,S0012,-364.0301752173174,2,1.0
CP002,S0013,-267.30868145379554,2,1.0
CP002,S0014,-346.6732351387049,2,1.0
CP002,S0015,-281.2807781974935,2,1.0
CP002,S0016,-317.556145558969,4,1.0
CP002,S0017,-602.1447996504095,3,1.0
CP002,S0018,-230.1724516672168,3,1.0
CP002,S0019,-224.14064135111425,2,0.5
CP002,S0020,-237.6478560229736,3,0.5
CP002,S0021,-304.0724408469092,2,1.0
CP002,S0022,-155.9170025614137,2,1.0
