curve_id,source_file,relative_source,validation_file,doi,record_id,legend,time_factor_to_hours,n_original_points,duration_hours,covers_window,n_points_in_window,maximum_relative_gap,points_first_quarter,points_last_quarter
C57673e472a,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.orgel.2018.09.040/Fig8_whole_stability_performance_curve_pce/accepted/10.1016_j.orgel.2018.09.040__Fig8__whole__stability_performance_curve_pce__0mM_KSCN__Series_1.csv,x_time_day/10.1016_j.orgel.2018.09.040/Fig8_whole_stability_performance_curve_pce/accepted/10.1016_j.orgel.2018.09.040__Fig8__whole__stability_performance_curve_pce__0mM_KSCN__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.orgel.2018.09.040/Fig8_whole_stability_performance_curve_pce/validation_result.json,10.1016/j.orgel.2018.09.040,10.1016_j.orgel.2018.09.040__Fig8__whole__stability_performance_curve_pce,0mM KSCN,24.0,67,214.52569654668747,True,47,0.021669262277443313,12,12
C6334cc5626,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.orgel.2019.105519/Fig8_whole_pce/accepted/10.1016_j.orgel.2019.105519__Fig8__whole__pce__W_O_Habtc__Series_2.csv,x_time_day/10.1016_j.orgel.2019.105519/Fig8_whole_pce/accepted/10.1016_j.orgel.2019.105519__Fig8__whole__pce__W_O_Habtc__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.orgel.2019.105519/Fig8_whole_pce/validation_result.json,10.1016/j.orgel.2019.105519,10.1016_j.orgel.2019.105519__Fig8__whole__pce,W/O Habtc,24.0,119,712.3016783459142,True,25,0.04024303267491064,7,6
Cae2d09bcd2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.orgel.2020.105681/Fig8_D_stability_performance_curve_pce/accepted/10.1016_j.orgel.2020.105681__Fig8__D__stability_performance_curve_pce__Reference__Series_1.csv,x_time_day/10.1016_j.orgel.2020.105681/Fig8_D_stability_performance_curve_pce/accepted/10.1016_j.orgel.2020.105681__Fig8__D__stability_performance_curve_pce__Reference__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.orgel.2020.105681/Fig8_D_stability_performance_curve_pce/validation_result.json,10.1016/j.orgel.2020.105681,10.1016_j.orgel.2020.105681__Fig8__D__stability_performance_curve_pce,Reference,24.0,75,356.94966977064155,True,32,0.0321576279072652,8,8
Cc743bf0ab4,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.orgel.2020.105681/Fig8_D_stability_performance_curve_pce/accepted/10.1016_j.orgel.2020.105681__Fig8__D__stability_performance_curve_pce__TSA_passivated__Series_2.csv,x_time_day/10.1016_j.orgel.2020.105681/Fig8_D_stability_performance_curve_pce/accepted/10.1016_j.orgel.2020.105681__Fig8__D__stability_performance_curve_pce__TSA_passivated__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.orgel.2020.105681/Fig8_D_stability_performance_curve_pce/validation_result.json,10.1016/j.orgel.2020.105681,10.1016_j.orgel.2020.105681__Fig8__D__stability_performance_curve_pce,TSA passivated,24.0,75,356.94966977064155,True,32,0.0321576279072652,8,8
Cb0b96f9674,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solener.2019.10.034/Fig1_C_pce/accepted/10.1016_j.solener.2019.10.034__Fig1__C__pce__Spiro-OMeTAD__Series_2.csv,x_time_day/10.1016_j.solener.2019.10.034/Fig1_C_pce/accepted/10.1016_j.solener.2019.10.034__Fig1__C__pce__Spiro-OMeTAD__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solener.2019.10.034/Fig1_C_pce/validation_result.json,10.1016/j.solener.2019.10.034,10.1016_j.solener.2019.10.034__Fig1__C__pce,Spiro-OMeTAD,24.0,40,206.3841713229438,True,29,0.0352793455252898,8,7
Cfcf8838013,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solener.2021.03.055/Fig3_D_stability_performance_curve_pce/accepted/10.1016_j.solener.2021.03.055__Fig3__D__stability_performance_curve_pce__P0__Series_1.csv,x_time_day/10.1016_j.solener.2021.03.055/Fig3_D_stability_performance_curve_pce/accepted/10.1016_j.solener.2021.03.055__Fig3__D__stability_performance_curve_pce__P0__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solener.2021.03.055/Fig3_D_stability_performance_curve_pce/validation_result.json,10.1016/j.solener.2021.03.055,10.1016_j.solener.2021.03.055__Fig3__D__stability_performance_curve_pce,P0,24.0,49,240.57051352056664,True,30,0.033412571322301216,8,7
Ce9affd75a0,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solmat.2016.12.025/Fig3_C_stability_performance_curve_pce/accepted/10.1016_j.solmat.2016.12.025__Fig3__C__stability_performance_curve_pce__By_normal_Pbl2__Series_2.csv,x_time_day/10.1016_j.solmat.2016.12.025/Fig3_C_stability_performance_curve_pce/accepted/10.1016_j.solmat.2016.12.025__Fig3__C__stability_performance_curve_pce__By_normal_Pbl2__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solmat.2016.12.025/Fig3_C_stability_performance_curve_pce/validation_result.json,10.1016/j.solmat.2016.12.025,10.1016_j.solmat.2016.12.025__Fig3__C__stability_performance_curve_pce,By normal Pbl2,24.0,52,167.51586789202358,True,46,0.02189749907085286,12,11
Ceb86128094,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solmat.2017.07.022/Fig7_whole_stability/accepted/10.1016_j.solmat.2017.07.022__Fig7__whole__stability__Control__Series_1.csv,x_time_day/10.1016_j.solmat.2017.07.022/Fig7_whole_stability/accepted/10.1016_j.solmat.2017.07.022__Fig7__whole__stability__Control__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solmat.2017.07.022/Fig7_whole_stability/validation_result.json,10.1016/j.solmat.2017.07.022,10.1016_j.solmat.2017.07.022__Fig7__whole__stability,Control,24.0,70,168.79407046550543,True,62,0.016308605842078047,16,16
C2d17bb2f9e,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solmat.2017.07.022/Fig7_whole_stability/accepted/10.1016_j.solmat.2017.07.022__Fig7__whole__stability__PDDA-perovskite__Series_2.csv,x_time_day/10.1016_j.solmat.2017.07.022/Fig7_whole_stability/accepted/10.1016_j.solmat.2017.07.022__Fig7__whole__stability__PDDA-perovskite__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solmat.2017.07.022/Fig7_whole_stability/validation_result.json,10.1016/j.solmat.2017.07.022,10.1016_j.solmat.2017.07.022__Fig7__whole__stability,PDDA-perovskite,24.0,69,166.34777958919372,True,62,0.016308605842078047,16,16
C45f8764278,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solmat.2018.01.025/Fig3_D_stability_performance_curve_pce/accepted/10.1016_j.solmat.2018.01.025__Fig3__D__stability_performance_curve_pce__0-PEDOT__Series_3.csv,x_time_day/10.1016_j.solmat.2018.01.025/Fig3_D_stability_performance_curve_pce/accepted/10.1016_j.solmat.2018.01.025__Fig3__D__stability_performance_curve_pce__0-PEDOT__Series_3.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solmat.2018.01.025/Fig3_D_stability_performance_curve_pce/validation_result.json,10.1016/j.solmat.2018.01.025,10.1016_j.solmat.2018.01.025__Fig3__D__stability_performance_curve_pce,0-PEDOT,24.0,70,238.48860869396105,True,44,0.023042377651590583,11,11
C4fc2f0c3f3,"/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solmat.2018.07.031/Fig5_whole_stability_performance_curve/accepted/10.1016_j.solmat.2018.07.031__Fig5__whole__stability_performance_curve__with1,6-DD__Series_2.csv","x_time_day/10.1016_j.solmat.2018.07.031/Fig5_whole_stability_performance_curve/accepted/10.1016_j.solmat.2018.07.031__Fig5__whole__stability_performance_curve__with1,6-DD__Series_2.csv",/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solmat.2018.07.031/Fig5_whole_stability_performance_curve/validation_result.json,10.1016/j.solmat.2018.07.031,10.1016_j.solmat.2018.07.031__Fig5__whole__stability_performance_curve,"with1,6-DD",24.0,74,372.67539443942644,True,30,0.03403428259720821,8,7
Cc75fdbaf92,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solmat.2018.07.031/Fig5_whole_stability_performance_curve/accepted/10.1016_j.solmat.2018.07.031__Fig5__whole__stability_performance_curve__一with_1-HH__Series_3.csv,x_time_day/10.1016_j.solmat.2018.07.031/Fig5_whole_stability_performance_curve/accepted/10.1016_j.solmat.2018.07.031__Fig5__whole__stability_performance_curve__一with_1-HH__Series_3.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solmat.2018.07.031/Fig5_whole_stability_performance_curve/validation_result.json,10.1016/j.solmat.2018.07.031,10.1016_j.solmat.2018.07.031__Fig5__whole__stability_performance_curve,一with 1-HH,24.0,74,372.67539443942644,True,30,0.034034282597208115,8,7
C2614e73b61,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solmat.2018.07.031/Fig5_whole_stability_performance_curve/accepted/10.1016_j.solmat.2018.07.031__Fig5__whole__stability_performance_curve__一without_additive__Series_1.csv,x_time_day/10.1016_j.solmat.2018.07.031/Fig5_whole_stability_performance_curve/accepted/10.1016_j.solmat.2018.07.031__Fig5__whole__stability_performance_curve__一without_additive__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solmat.2018.07.031/Fig5_whole_stability_performance_curve/validation_result.json,10.1016/j.solmat.2018.07.031,10.1016_j.solmat.2018.07.031__Fig5__whole__stability_performance_curve,一without additive,24.0,74,372.6753944394265,True,30,0.03403428259720821,8,7
