sample,curve_id,csv_path,window_hours,included,reason,duration_hours,first_global_max_time_hours,raw_points
图片172,图片172_bd939e70bb,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片172/accepted/samples_test__unknown__unknown__图片172__Series_2__Series_2.csv,300,False,shorter_than_window,164.82640238318905,,43
图片172,图片172_84a27cb7e0,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片172/accepted/samples_test__unknown__unknown__图片172__Series_3__Series_3.csv,300,False,shorter_than_window,255.08847987874492,,66
图片175,图片175_1baaae20ac,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片175/accepted/samples_test__unknown__unknown__图片175__Series_1__Series_1.csv,300,False,axis_or_csv:missing,,,43
图片175,图片175_22713ac923,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片175/accepted/samples_test__unknown__unknown__图片175__Series_2__Series_2.csv,300,False,axis_or_csv:missing,,,15
图片180,图片180_8801c12532,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片180/accepted/samples_test__unknown__unknown__图片180__Ctrl__Series_1.csv,300,False,shorter_than_window,198.3849646963697,,30
图片180,图片180_e87debf7f3,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片180/accepted/samples_test__unknown__unknown__图片180__Target__Series_2.csv,300,True,included,396.7699293927394,0.0,59
图片181,图片181_af42bc4e9a,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片181/accepted/samples_test__unknown__unknown__图片181__SnO2-SSSO__Series_2.csv,300,False,shorter_than_window,27.748780763058747,,36
图片181,图片181_ddf72473ad,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片181/accepted/samples_test__unknown__unknown__图片181__SnO2__Series_1.csv,300,False,shorter_than_window,27.748780763058747,,36
图片183,图片183_442ec044b3,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片183/accepted/samples_test__unknown__unknown__图片183__Series_1__Series_1.csv,300,False,shorter_than_window,158.45954212236788,,34
图片183,图片183_0f39f7aa44,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片183/accepted/samples_test__unknown__unknown__图片183__Series_2__Series_2.csv,300,False,shorter_than_window,158.45954212236785,,34
图片184,图片184_3fb77091e9,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片184/accepted/samples_test__unknown__unknown__图片184__OCT-doped__Series_2.csv,300,True,included,990.6839997767673,0.0,48
图片184,图片184_41b30d1245,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片184/accepted/samples_test__unknown__unknown__图片184__Pristine__Series_1.csv,300,True,included,743.0129998325757,0.0,37
图片186,图片186_a59d679338,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片186/accepted/samples_test__unknown__unknown__图片186__Series_1__Series_1.csv,300,False,shorter_than_window,70.75459625186805,,37
图片186,图片186_802568a710,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片186/accepted/samples_test__unknown__unknown__图片186__Series_2__Series_2.csv,300,False,shorter_than_window,70.75459625186805,,37
图片186,图片186_f0fe20191e,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片186/accepted/samples_test__unknown__unknown__图片186__Series_3__Series_3.csv,300,False,shorter_than_window,70.75459625186804,,37
图片19,图片19_4fe06180b8,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片19/accepted/samples_test__unknown__unknown__图片19__PCE24.7%@t=0__Series_2.csv,300,True,included,988.2561874666285,32.94187291555431,31
图片19,图片19_0cdd22d929,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片19/accepted/samples_test__unknown__unknown__图片19__SAM__Series_1.csv,300,True,included,988.2561874666285,0.0,31
图片190,图片190_9183c29363,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片190/accepted/samples_test__unknown__unknown__图片190__Control__Series_1.csv,300,True,included,712.3329859504383,0.0,26
图片190,图片190_8a4d0f2849,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片190/accepted/samples_test__unknown__unknown__图片190__Target__Series_2.csv,300,False,shorter_than_window,142.46659719008764,,6
图片193,图片193_b2555293fe,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片193/accepted/samples_test__unknown__unknown__图片193__Series_1__Series_1.csv,300,True,included,446.204850971782,0.0,40
图片194,图片194_17601f1609,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片194/accepted/samples_test__unknown__unknown__图片194__Series_1__Series_1.csv,300,False,shorter_than_window,100.70399347297041,,39
图片196,图片196_3c8124bbf2,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片196/accepted/samples_test__unknown__unknown__图片196__Series_1__Series_1.csv,300,False,axis_or_csv:non_time_cycle,,,30
图片196,图片196_a74e98a644,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片196/accepted/samples_test__unknown__unknown__图片196__Series_2__Series_2.csv,300,False,axis_or_csv:non_time_cycle,,,27
图片197,图片197_b344157f43,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片197/accepted/samples_test__unknown__unknown__图片197__0.74M(16_1)__Series_1.csv,300,True,included,500.03163787024835,162.17242309305354,38
图片197,图片197_e0c62dba70,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片197/accepted/samples_test__unknown__unknown__图片197__1.40M（8_1）__Series_2.csv,300,True,included,513.5460064613361,67.57184295543897,39
图片200,图片200_e3c6ceb7e3,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片200/accepted/samples_test__unknown__unknown__图片200__Series_1__Series_1.csv,300,False,axis_or_csv:missing;missing,,,37
